127.0.0.1 - - [20/Dec/2020:16:35:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:53 +0900] "GET /matjib/index.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/main/main.html;jsessionid=67922AE8B35899B2B5623F5E0F7899C2 HTTP/1.1" 200 6353
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/img/sample2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/img/logosample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2020:16:35:55 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 304 -
