127.0.0.1 - - [12/Jan/2021:19:18:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:49 +0900] "GET /matjib/index.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/main/template.html;jsessionid=30F48AE4BF8DEA8C7C80AD29EB6CC9E0 HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:18:52 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:19:02 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 5845
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:19:02 +0900] "GET /matjib/css/detail_mainContent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:19:02 +0900] "GET /matjib/image/sample2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:19:02 +0900] "GET /matjib/image/sample3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:19:02 +0900] "GET /matjib/image/Ranking_2030.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:32:23 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:19 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:20 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:20 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:20 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:21 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:21 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:21 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:21 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:21 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:22 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:23 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:24 +0900] "GET /matjib/main/template.html HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:24 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 5864
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:24 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:24 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [12/Jan/2021:19:33:24 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
