127.0.0.1 - - [11/Jan/2021:20:12:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:20 +0900] "GET /matjib/index.jsp HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:31 +0900] "GET /matjib/main/template.html;jsessionid=5031A770DEE31E76AC88BB9568FF84CC HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:31 +0900] "GET /matjib/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:32 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:33 +0900] "GET /matjib/login/login.html HTTP/1.1" 200 6234
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:33 +0900] "GET /matjib/img/loginTheme.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:33 +0900] "GET /matjib/img/img_avatar2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:37 +0900] "POST /matjib/login/main.html HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:39 +0900] "GET /matjib/jsp/storedetail.html HTTP/1.1" 200 13034
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:39 +0900] "GET /matjib/jsp/resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:39 +0900] "GET /matjib/css/store_regist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:39 +0900] "GET /matjib/jsp/resources/js/jquery-3.5.1.min.js HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:12:48 +0900] "POST /matjib/store/addStore.html HTTP/1.1" 500 10920
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:09 +0900] "POST /matjib/store/addStore.html HTTP/1.1" 200 6388
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:31 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:31 +0900] "GET /matjib/css/detail_mainContent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:31 +0900] "GET /matjib/image/1610363568652entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:31 +0900] "GET /matjib/image/1610363649286entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:40 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:40 +0900] "GET /matjib/image/1610363568652entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:14:40 +0900] "GET /matjib/image/1610363649286entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:12 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:12 +0900] "GET /matjib/image/1610363568652entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:12 +0900] "GET /matjib/image/1610363649286entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:13 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:13 +0900] "GET /matjib/image/1610363568652entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:13 +0900] "GET /matjib/image/1610363649286entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:15 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:15 +0900] "GET /matjib/image/1610363568652entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:15:15 +0900] "GET /matjib/image/1610363649286entry_ceo.png HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:17:09 +0900] "GET /matjib/main/total.html HTTP/1.1" 200 4807
0:0:0:0:0:0:0:1 - - [11/Jan/2021:20:17:10 +0900] "GET /matjib/jsp/storedetail.html HTTP/1.1" 200 13034
