127.0.0.1 - - [26/Dec/2020:15:13:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:54 +0900] "GET /matjib/index.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:13:58 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:40:26 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5743
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:21 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:22 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:23 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:23 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:23 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:25 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:41:27 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:42:49 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
0:0:0:0:0:0:0:1 - - [26/Dec/2020:15:42:51 +0900] "GET /matjib/main/main.html;jsessionid=BF3425743ABFC22AF71FF62DBBD5524D HTTP/1.1" 200 5744
