127.0.0.1 - - [28/Dec/2020:01:38:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Dec/2020:01:38:57 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:01:38:57 +0900] "GET /matjib/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:51 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:53 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:54 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/jsp/template.jsp HTTP/1.1" 200 5824
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/css/style.css HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/css/resetCss.css HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Ranking_main.jpg HTTP/1.1" 200 314555
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Local_main.jpg HTTP/1.1" 200 121402
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Category_main.jpg HTTP/1.1" 200 267749
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/Recommand_main.jpg HTTP/1.1" 200 204058
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/logo_gray.jpg HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/slide1.png HTTP/1.1" 200 682502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/slide-1-bg.jpg HTTP/1.1" 200 232502
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /matjib/img/slide3.png HTTP/1.1" 200 71543
0:0:0:0:0:0:0:1 - - [28/Dec/2020:02:07:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
